iter	RMSE
0	3.071373469
1	3.046603386
2	3.024610254
3	3.00280335
4	2.980997414
5	2.961581569
6	2.942047849
7	2.924606541
8	2.907282144
9	2.890911358
10	2.874611335
11	2.858350933
12	2.84309125
13	2.829179122
14	2.81635645
15	2.803547887
16	2.792453782
17	2.780610904
18	2.770130385
19	2.759234731
20	2.75001993
21	2.74066873
22	2.731215009
23	2.722024309
24	2.713728366
25	2.705939284
26	2.698870827
27	2.691331977
28	2.684063241
29	2.676988869
30	2.670027927
31	2.663764717
32	2.657630618
33	2.652070729
34	2.646124477
35	2.641062214
36	2.635917478
37	2.63081917
38	2.62633009
39	2.621830833
40	2.617856814
41	2.613523244
42	2.609605607
43	2.605741226
44	2.601700682
45	2.598525665
46	2.594942132
47	2.59161483
48	2.58840446
49	2.585384646
50	2.58233102
51	2.579751783
52	2.576997581
53	2.574008586
54	2.571655064
55	2.569231309
56	2.566611621
57	2.564319476
58	2.562238002
59	2.559963154
60	2.557866934
61	2.556052602
62	2.553778676
63	2.551728863
64	2.549953691
65	2.548554824
66	2.547058669
67	2.545319012
68	2.543461385
69	2.542039532
70	2.540552761
71	2.539172917
72	2.537890051
73	2.536307651
74	2.534946981
75	2.533577918
76	2.532164816
77	2.531054236
78	2.530057285
79	2.529107881
80	2.528160296
81	2.527167117
82	2.526114398
83	2.524709024
84	2.523691956
85	2.52278559
86	2.521987844
87	2.520860523
88	2.519445377
89	2.518123983
90	2.517041033
91	2.516097368
92	2.515377587
93	2.514682881
94	2.51387198
95	2.512930417
96	2.512394304
97	2.511568627
98	2.510514373
99	2.509983325
100	2.509344615
101	2.508674889
102	2.507910795
103	2.506847478
104	2.506201289
105	2.505528989
106	2.504651411
107	2.503826437
108	2.50339126
109	2.502733856
110	2.502617587
111	2.502095896
112	2.501453823
113	2.500780542
114	2.500257731
115	2.49950385
116	2.499035493
117	2.498525676
118	2.49802141
119	2.497593066
120	2.496985671
121	2.496459114
122	2.495447261
123	2.494926143
124	2.494494934
125	2.49379945
126	2.493021022
127	2.49263819
128	2.491503884
129	2.49112598
130	2.490775017
131	2.490016849
132	2.489496834
133	2.489068905
134	2.488582736
135	2.488260522
136	2.487971555
137	2.487633754
138	2.487244258
139	2.486963458
140	2.486362864
141	2.485747241
142	2.485399718
143	2.484546584
144	2.483978182
145	2.483639677
146	2.482726232
147	2.4821902
148	2.481685822
149	2.481093461
150	2.4807955
151	2.480005866
152	2.47918135
153	2.478553703
154	2.478123657
155	2.477803158
156	2.477249062
157	2.476601446
158	2.476352442
159	2.475409958
160	2.47497666
161	2.474342985
162	2.473965052
163	2.473363546
164	2.473019584
165	2.472596689
166	2.472319451
167	2.471876077
168	2.471353087
169	2.470958787
170	2.470542791
171	2.470187711
172	2.469888415
173	2.469271833
174	2.468902859
175	2.468682262
176	2.468224064
177	2.46816724
178	2.467908337
179	2.46764596
180	2.467391864
181	2.467039627
182	2.466785713
183	2.466294229
184	2.466117773
185	2.465679543
186	2.465511316
187	2.465349854
188	2.464214396
189	2.464107014
190	2.463673187
191	2.463430702
192	2.463222177
193	2.462833599
194	2.462408444
195	2.462222221
196	2.462036347
197	2.461652435
198	2.46115301
199	2.460947974
200	2.46066361
201	2.460073007
202	2.459580832
203	2.459156866
204	2.458786545
205	2.458534475
206	2.458286279
207	2.457980869
208	2.457773246
209	2.457447361
210	2.456746007
211	2.456498756
212	2.455947347
213	2.455479202
214	2.455302837
215	2.454927221
216	2.454425417
217	2.454175786
218	2.453877967
219	2.45362828
220	2.453266367
221	2.452990481
222	2.452401981
223	2.452203338
224	2.451786551
225	2.451613312
226	2.451169068
227	2.450894132
228	2.450582331
229	2.450155912
230	2.449614897
231	2.44934226
232	2.449018643
233	2.448805658
234	2.448143531
235	2.447602194
236	2.4471295
237	2.446867817
238	2.446669974
239	2.44640811
240	2.446047153
241	2.445706068
242	2.445457656
243	2.444867559
244	2.444463467
245	2.444104998
246	2.443603528
247	2.442989162
248	2.442710136
249	2.442353602
250	2.441812239
251	2.441564949
252	2.441233228
253	2.44102344
254	2.440871005
255	2.44046164
256	2.440154358
257	2.439760751
258	2.439500835
259	2.439078612
260	2.439020661
261	2.438618345
262	2.438380789
263	2.438246343
264	2.437720104
265	2.437295129
266	2.436937802
267	2.436688664
268	2.436447214
269	2.436033211
270	2.435752853
271	2.435490148
272	2.435163803
273	2.434986223
274	2.434451944
275	2.434085923
276	2.433706226
